Inicio;Fin;IRI
586960;586980;2,5
586980;587000;2,7
587000;587020;2,3
587020;587040;1,9
587040;587060;2,5
587060;587080;2,2
587080;587100;2,0
587100;587120;2,4
587120;587140;2,5
587140;587160;2,8
587160;587180;3,0
587180;587200;2,7
587200;587220;2,1
587220;587240;4,1
587240;587260;3,0
587260;587280;2,3
587280;587300;2,5
587300;587320;2,2
587320;587340;1,9
587340;587360;2,2
587360;587380;1,9
587380;587400;2,1
587400;587420;2,9
587420;587440;3,7
587440;587460;4,3
587460;587480;3,0
587480;587500;2,0
587500;587520;2,1
587520;587540;2,2
587540;587560;2,3
587560;587580;2,3
587580;587600;2,6
587600;587620;3,5
587620;587640;2,8
587640;587660;2,3
587660;587680;2,5
587680;587700;2,4
587700;587720;2,5
587720;587740;2,8
587740;587760;3,5
587760;587780;3,0
587780;587800;4,6
587800;587820;3,9
587820;587840;3,6
587840;587860;3,7
587860;587880;3,0
587880;587900;3,1
587900;587920;2,7
587920;587940;2,9
587940;587960;3,0
587960;587980;2,6
587980;588000;2,0
588000;588020;2,3
588020;588040;2,9
588040;588060;2,6
588060;588080;2,9
588080;588100;3,0
588100;588120;3,1
588120;588140;3,0
588140;588160;3,1
588160;588180;3,1
588180;588200;2,3
588200;588220;2,4
588220;588240;3,1
588240;588260;2,4
588260;588280;2,1
588280;588300;1,5
588300;588320;1,4
588320;588340;1,5
588340;588360;1,9
588360;588380;2,0
588380;588400;2,0
588400;588420;2,1
588420;588440;2,6
588440;588460;2,0
588460;588480;2,2
588480;588500;1,6
588500;588520;2,4
588520;588540;3,0
588540;588560;2,7
588560;588580;3,3
588580;588600;2,3
588600;588620;2,4
588620;588640;2,7
588640;588660;2,2
588660;588680;2,1
588680;588700;1,7
588700;588720;2,8
588720;588740;2,9
588740;588760;3,0
588760;588780;2,4
588780;588800;2,1
588800;588820;2,9
588820;588840;2,5
588840;588860;2,5
588860;588880;2,7
588880;588900;2,4
588900;588920;3,0
588920;588940;2,6
588940;588960;3,2
588960;588980;3,2
588980;589000;2,6
589000;589020;2,3
589020;589040;3,3
589040;589060;3,6
589060;589080;3,1
589080;589100;3,0
589100;589120;2,4
589120;589140;2,2
589140;589160;2,4
589160;589180;2,1
589180;589200;1,9
589200;589220;1,9
589220;589240;2,0
